station_name,latitude,longitude,free_bikes,venue_name,venue_rating,venue_address,venue_distance,venue_category,latitude_x,longitude_x,latitude_y,longitude_y
Ney - Porte de Montmartre,48.897918,2.3364872,1,Al Caratello,4.7,"5 rue Audran, 75018 Paris, France",1410.7191074493703,Italian,,,,
Ney - Porte de Montmartre,48.897918,2.3364872,1,Sacrée Fleur,4.6,"50 rue Clignancourt, 75018 Paris, France",1429.2777371865425,French,,,,
Ney - Porte de Montmartre,48.897918,2.3364872,1,Le Basilic,4.2,"33 rue Lepic, 75018 Paris, France",1335.0078017068963,French,,,,
Ney - Porte de Montmartre,48.897918,2.3364872,1,Le Poulbot,4.4,"3 rue Poulbot, 75018 Paris, France",1174.4023223387344,French,,,,
Ney - Porte de Montmartre,48.897918,2.3364872,1,La Boîte aux Lettres,4.8,"108 rue Lepic, 75018 Paris, France",1239.1139241696728,French,,,,
Argenson - Château,,,21,Les Pieds dans l'Eau,,39 boulevard du Parc,448.0,,48.888559314669514,2.2642001509666447,,
Argenson - Château,,,21,Maison Wok,,4 rue des Poissonniers,494.0,,48.888559314669514,2.2642001509666447,,
Argenson - Château,,,21,Livio,,6 rue de Longchamp,626.0,,48.888559314669514,2.2642001509666447,,
Argenson - Château,,,21,Le Nouveau Paris,,204 boulevard Bineau,700.0,,48.888559314669514,2.2642001509666447,,
Argenson - Château,,,21,Cercle Nautique de France,,Ile du Pont de Neuilly,397.0,,48.888559314669514,2.2642001509666447,,
Saint Lambert - Blomet,,,2,The Counter Rugby Bar (Le Comptoir),,354 bis rue de Vaugirard,92.0,,48.83659148147257,2.2930556908249855,,
Saint Lambert - Blomet,,,2,Afaria,,15 rue Desnouettes,126.0,,48.83659148147257,2.2930556908249855,,
Saint Lambert - Blomet,,,2,Le Cambodge,,2 rue Leriche,104.0,,48.83659148147257,2.2930556908249855,,
Saint Lambert - Blomet,,,2,Au Petit Parisien,,358 rue de Vaugirard,126.0,,48.83659148147257,2.2930556908249855,,
Saint Lambert - Blomet,,,2,Le Grand Venise,,171 rue de la Convention,214.0,,48.83659148147257,2.2930556908249855,,
Saint-Maur - République,,,2,Atelier des Lumières,,38 rue Saint-Maur,325.0,,48.864185861455,2.3783174157143,,
Saint-Maur - République,,,2,Boulangerie Chambelland,,"14 rue Ternaux, 11e",368.0,,48.864185861455,2.3783174157143,,
Saint-Maur - République,,,2,The Hood,,80 rue Jean Pierre Timbaud le Citizen Hotel,375.0,,48.864185861455,2.3783174157143,,
Saint-Maur - République,,,2,La Cave de l'Insolite,,"30 rue de la Folie Méricourt, 11e",400.0,,48.864185861455,2.3783174157143,,
Saint-Maur - République,,,2,Le Servan,,32 rue Saint-Maur,407.0,,48.864185861455,2.3783174157143,,
Mairie de Rosny-sous-Bois,,,19,La Poste,,60 rue Jean Pierre Timbaud,170.0,,48.871256519012,2.4865807592869,,
Mairie de Rosny-sous-Bois,,,19,Restaurant Shalimar Indien et Pakistanais,,25 rue du Général Leclerc,184.0,,48.871256519012,2.4865807592869,,
Mairie de Rosny-sous-Bois,,,19,Rapid'Epave,,33 rue Paul Cavaré,194.0,,48.871256519012,2.4865807592869,,
Mairie de Rosny-sous-Bois,,,19,Galeries Lafayette,,"l' Agence de Rosny, rue Paul Cavaré",206.0,,48.871256519012,2.4865807592869,,
