station_name,venue_name,venue_address,venue_distance,venue_latitude,venue_longitude
Gare Rosny-Bois-Perrier,Sweet'shake,Centre commercial de rosny 2,322,N/A,N/A
Condorcet - Turgot,Mamiche,45 rue Condorcet,115,N/A,N/A
Condorcet - Turgot,La Binouze,"72 rue de Rochechouart, 9e",221,N/A,N/A
Condorcet - Turgot,Piccola Toscana,10 rue Rochambeau,297,N/A,N/A
Condorcet - Turgot,KBCafeshop,"53 avenue Trudaine, 9e",338,N/A,N/A
Condorcet - Turgot,Elysée Montmartre,72 boulevard de Rochechouart 18th,361,N/A,N/A
Cordelières - Arago,Restaurant Buddha,13 rue Saint-Hippolyte,122,N/A,N/A
Cordelières - Arago,L'Ourcine,"92 rue Broca, 13e",157,N/A,N/A
Cordelières - Arago,Les Frangins,3 rue des Gobelins,248,N/A,N/A
Cordelières - Arago,Au Bon Coin,21 rue de la Collégiale,376,N/A,N/A
Cordelières - Arago,Cave la Bourgogne,"144 rue Mouffetard, 5e",426,N/A,N/A
Le Brix et Mesmin - Jourdan,Centre Sportif Elisabeth,7-15 avenue Paul Appell,107,N/A,N/A
Le Brix et Mesmin - Jourdan,Palais de Vandan,30 rue Paul Fort,194,N/A,N/A
Le Brix et Mesmin - Jourdan,Il Far'Niente,14 rue Paul Fort,232,N/A,N/A
Le Brix et Mesmin - Jourdan,Patisserie Thevenin,119 avenue du Général Leclerc,246,N/A,N/A
Le Brix et Mesmin - Jourdan,Auto Passion Café,"197 boulevard Brune, 14e",267,N/A,N/A
Mairie du 2ème,Galerie Vivienne,4-6 rue des Petits-Champs,78,N/A,N/A
Mairie du 2ème,Danico,"6 rue Vivienne, 2e",78,N/A,N/A
Mairie du 2ème,Daroco,"6 rue Vivienne, 2e",89,N/A,N/A
Mairie du 2ème,Bibliothèque Nationale de France,58 rue de Richelieu,150,N/A,N/A
Mairie du 2ème,Willi's Wine Bar,13 rue des Petits Champs,187,N/A,N/A
Philippe-Auguste,Boucherie Moderne,249 boulevard Voltaire,147,N/A,N/A
Philippe-Auguste,The Green Goose,19 rue des Boulets,261,N/A,N/A
Philippe-Auguste,Fulgurances l'Adresse,10 rue Alexandre Dumas,277,N/A,N/A
Philippe-Auguste,Passage Clouté,8 rue des Boulets,273,N/A,N/A
Philippe-Auguste,Le Sot l'y Laisse,70 rue Alexandre Dumas,303,N/A,N/A
Charles Delescluze,Louie Louie,78 rue de Charonne,114,N/A,N/A
Charles Delescluze,Clamato,"80 rue de Charonne, Paris",140,N/A,N/A
Charles Delescluze,Septime la Cave,"3 rue Basfroi, 11e",145,N/A,N/A
Charles Delescluze,Septime,"80 rue de Charonne, 11e",145,N/A,N/A
Charles Delescluze,Bluebird,12 rue Saint Bernard,147,N/A,N/A
Place de la Montagne du Goulet,Le Quinzième,14 rue de Cauchy,203,N/A,N/A
Place de la Montagne du Goulet,Paris & Co,4 rue de la Convention,127,N/A,N/A
Place de la Montagne du Goulet,La Grenouille Bleue,48 rue Balard,302,N/A,N/A
Place de la Montagne du Goulet,Parc André-Citroën,2 rue de la Montagne de la Fage,397,N/A,N/A
Place de la Montagne du Goulet,Aux Merveilleux de Fred,"129 bis, rue Saint-Charles",440,N/A,N/A
Place de la Madeleine - Royale,Madeleine Church (Église de la Madeleine),1 place de la Concorde,38,N/A,N/A
Place de la Madeleine - Royale,Massimo Dutti France,24 rue Royal place de la Ma,45,N/A,N/A
Place de la Madeleine - Royale,Patrick Roger,"3 place de la Madeleine, 8e",63,N/A,N/A
Place de la Madeleine - Royale,Chez Monsieur,11 rue du Chevalier de Saint Georges,66,N/A,N/A
Place de la Madeleine - Royale,Christian Dior Couture,25 rue Royale,75,N/A,N/A
Geoffroy-Saint-Hilaire - Saint-Marcel,Chez Neung,70 boulevard Saint-Marcel,249,N/A,N/A
Geoffroy-Saint-Hilaire - Saint-Marcel,Tesoro d'Italia,65 boulevard Saint Marcel,261,N/A,N/A
Geoffroy-Saint-Hilaire - Saint-Marcel,Salon de thé de la Grande Mosquée de Paris (Salon de Thé de la Grande Mosquée de Paris),39 rue Geoffroy Saint-Hilaire,307,N/A,N/A
Geoffroy-Saint-Hilaire - Saint-Marcel,Grande Galerie de l'Evolution (Grande Galerie de l'évolution),"36 rue Geoffroy-St-Hilaire, 5e",337,N/A,N/A
Geoffroy-Saint-Hilaire - Saint-Marcel,Au Bon Coin,21 rue de la Collégiale,386,N/A,N/A
Le Corbusier - Jean Jaurès,Cinéma Pathé Boulogne,26 rue le Corbusier,72,N/A,N/A
Le Corbusier - Jean Jaurès,Les Passages de l'Hotel de Ville,rue tony garnier 5,181,N/A,N/A
Le Corbusier - Jean Jaurès,Moustaches,81 route de la Reine,215,N/A,N/A
Le Corbusier - Jean Jaurès,Patrizia,72 ter route de la Reine,217,N/A,N/A
Le Corbusier - Jean Jaurès,Mama Roasta,117 rue de Billancourt,339,N/A,N/A
Lorraine - Jean Jaurès,Le Pavillon des Canaux,39 quai de la Loire,310,N/A,N/A
Lorraine - Jean Jaurès,Paname Brewing Company,"41 bis, quai de la Loire",315,N/A,N/A
Lorraine - Jean Jaurès,Barourcq,68 quai de la Loire,389,N/A,N/A
Lorraine - Jean Jaurès,Simonetta,32 quai de la Marne,434,N/A,N/A
Lorraine - Jean Jaurès,Canal de l'Ourcq,quai de l'Oise,440,N/A,N/A
Mairie,Le Triton,"11 bis, rue du Coq Français",121,N/A,N/A
Mairie,La Poste,4 boulevard de la Liberte,43,N/A,N/A
Mairie,Barolo,"3 rue Jean Moulin, Bât A",120,N/A,N/A
Mairie,L'Atmosphère,1-31 rue Romain Rolland,205,N/A,N/A
Mairie,Planet Sushi,117 rue de Paris,82,N/A,N/A
Raspail - Bac,Noir,9 rue de Luynes,95,N/A,N/A
Raspail - Bac,Deyrolle,46 rue du Bac,107,N/A,N/A
Raspail - Bac,Nicole Barthelemy Fromager,51 rue de Grenelle,130,N/A,N/A
Raspail - Bac,L'Atelier de Joël Robuchon,"5 rue de Montalembert, 5e",178,N/A,N/A
