station_name,yelp_business_name,foursquare_business_name,yelp_rating,foursquare_rating,yelp_distance,foursquare_distance
Mouton Duvernet - Général Leclerc,Café du Rendez-Vous,Burger King,3.6,N/A,282.7438391799255,311
Mouton Duvernet - Général Leclerc,Café du Rendez-Vous,Un Jour à Hà Nôi,3.6,N/A,282.7438391799255,356
Mouton Duvernet - Général Leclerc,Les Papilles,Aux Plumes,4.5,N/A,1698.7015223743078,132
Mouton Duvernet - Général Leclerc,Les Papilles,A Mi Chemin,4.5,N/A,1698.7015223743078,176
Mouton Duvernet - Général Leclerc,Les Papilles,Les Sourires de Dante,4.5,N/A,1698.7015223743078,198
Mouton Duvernet - Général Leclerc,Les Papilles,Burger King,4.5,N/A,1698.7015223743078,311
Mouton Duvernet - Général Leclerc,Les Papilles,Un Jour à Hà Nôi,4.5,N/A,1698.7015223743078,356
Mouton Duvernet - Général Leclerc,Le Bistrot des Campagnes,Aux Plumes,4.6,N/A,1048.6206502035977,132
Mouton Duvernet - Général Leclerc,Le Bistrot des Campagnes,A Mi Chemin,4.6,N/A,1048.6206502035977,176
Mouton Duvernet - Général Leclerc,Le Bistrot des Campagnes,Les Sourires de Dante,4.6,N/A,1048.6206502035977,198
Mouton Duvernet - Général Leclerc,Le Bistrot des Campagnes,Burger King,4.6,N/A,1048.6206502035977,311
Mouton Duvernet - Général Leclerc,Le Bistrot des Campagnes,Un Jour à Hà Nôi,4.6,N/A,1048.6206502035977,356
Mouton Duvernet - Général Leclerc,Bistrotters,Aux Plumes,4.6,N/A,1060.6580472206288,132
Mouton Duvernet - Général Leclerc,Bistrotters,A Mi Chemin,4.6,N/A,1060.6580472206288,176
Mouton Duvernet - Général Leclerc,Bistrotters,Les Sourires de Dante,4.6,N/A,1060.6580472206288,198
Mouton Duvernet - Général Leclerc,Bistrotters,Burger King,4.6,N/A,1060.6580472206288,311
Mouton Duvernet - Général Leclerc,Bistrotters,Un Jour à Hà Nôi,4.6,N/A,1060.6580472206288,356
Pernety - Raymond Losserand,Bistrotters,L'Entrepôt,4.6,N/A,235.11424099926114,78
Pernety - Raymond Losserand,Bistrotters,La Cantine du Troquet,4.6,N/A,235.11424099926114,111
Pernety - Raymond Losserand,Bistrotters,Papy aux Fourneaux,4.6,N/A,235.11424099926114,151
Pernety - Raymond Losserand,Bistrotters,Ayako,4.6,N/A,235.11424099926114,183
Pernety - Raymond Losserand,Bistrotters,Sodam,4.6,N/A,235.11424099926114,167
Pernety - Raymond Losserand,Le Bistrot des Campagnes,L'Entrepôt,4.6,N/A,1215.7985030020131,78
Pernety - Raymond Losserand,Le Bistrot des Campagnes,La Cantine du Troquet,4.6,N/A,1215.7985030020131,111
Pernety - Raymond Losserand,Le Bistrot des Campagnes,Papy aux Fourneaux,4.6,N/A,1215.7985030020131,151
Pernety - Raymond Losserand,Le Bistrot des Campagnes,Ayako,4.6,N/A,1215.7985030020131,183
Pernety - Raymond Losserand,Le Bistrot des Campagnes,Sodam,4.6,N/A,1215.7985030020131,167
Pernety - Raymond Losserand,Ayako-Teppanyaki,L'Entrepôt,4.0,N/A,180.08753995248665,78
